Input (Poem),Label (Limerick or Non-Limerick)
"They are all gone away,
   The House is shut and still,
There is nothing more to say.

Through broken walls and gray
   The winds blow bleak and shrill:
They are all gone away.

Nor is there one to-day
   To speak them good or ill:
There is nothing more to say.

Why is it then we stray
   Around the sunken sill?
They are all gone away,

And our poor fancy-play
   For them is wasted skill:
There is nothing more to say.

There is ruin and decay
   In the House on the Hill:
They are all gone away,
There is nothing more to say.",Non-Limerick
"I shut my eyes and all the world drops dead;
I lift my lids and all is born again.
(I think I made you up inside my head.)

The stars go waltzing out in blue and red,
And arbitrary blackness gallops in:
I shut my eyes and all the world drops dead.

I dreamed that you bewitched me into bed
And sung me moon-struck, kissed me quite insane.
(I think I made you up inside my head.)

God topples from the sky, hell's fires fade:
Exit seraphim and Satan's men:
I shut my eyes and all the world drops dead.

I fancied you'd return the way you said,
But I grow old and I forget your name.
(I think I made you up inside my head.)

I should have loved a thunderbird instead;
At least when spring comes they roar back again.
I shut my eyes and all the world drops dead.
(I think I made you up inside my head.)",Non-Limerick
"Hold my hand in yours; we’ll make it through.
If life becomes too hard to comprehend,
for no one understands me like you do.

Along life’s lonely road, I’ll walk with you.
When times are hard, please know you have a friend.
Hold my hand in yours; we’ll make it through.

I’m here for you. You give me your strength too;
my courage is no longer just pretend,
for no one understands me like you do.

My friend, I’ll cheer you up when you are blue,
A smile, my heart to yours will always send.
Hold my hand in yours; we’ll make it through.

If I am down, you make me feel brand new
You know the way, my broken heart to mend,
for no one understands me like you do.

Though oft times life presents a horrid view,
Together we can face the bitter end.
Hold my hand in yours; we’ll make it through,
for no one understands me like you do.",Non-Limerick
"Humans, some say, aren’t much more than an ape—
A reasoning beast, quintessence of dust.
Others believe we’re of angelic shape.

Hungry for morsels, we scrabble and scrape,
Leaving the tree to indulge termite lust.
Humans, some say, aren’t much more than an ape.

Yet not all dwell in this feral landscape—
Their minds are free to transcend what hearts must.
Others believe we’re of angelic shape.

We squat under shadows, covet and rape,
Then flaunt our filth like a Renaissance bust.
Humans, some say, aren’t much more than an ape.

Still, there are many whose spirits escape
The region where bodies settle for crust.
Others believe we’re of angelic shape.

Though such a question makes all skeptics jape,
How could our good rise from matter unjust?
Humans, some say, aren’t much more than an ape;
I must believe we’re of angelic shape.",Non-Limerick
"Tell me why the patient is still crying.
What pharmaceuticals? pain pills? barbiturates?
What pretties has the doctor been supplying?
Finish the prescription. Don’t give up trying
the newest, truest of amalgamates.
Tell me why the patient is still crying.
Xanax will put you down when you are flying,
while Ecstacy delivers altered states.
What pretties has the doctor been supplying?
Whatever truths you cannot help denying
let Sodium pentothal unlatch the gates.
Tell me why the patient is still crying.
One dosage is for selling, one for buying,
Rohypnol for those reluctant dates.
What pretties has the doctor been supplying?
Tell me what you dole out to the dying.
What paradise or punishment awaits?
Tell me why. The patient is still crying.
What pretties has the doctor been supplying?",Non-Limerick
"Free me from wars? Make my debut?
Oh, Mr. Handsome G.I. Joe—
your face and a blanket won’t do.

Sift flour from Mama’s ashes, melt glue
from Papa’s bones. Knead them into dough—
free of wars, rising for my debut.

Am I marble pale and girlish thin enough for you—
brave young generalissimo?
Will my face in your blanket do?

My spent seeds stare from the dew—
oblige me a new womb, my flow—
free of wars, making my debut.

Long years I yearned for this rendezvous,
my Savior, my Private, my American Beau—
your face scratchy, your blanket too.

Beautiful women wait back home for you,
nothing to ask for, nothing to owe—
free of wars, making debuts.
Your blanket, my face—dead, white, and blue.",Non-Limerick
"Our paths vanish; our footsteps fade
From forest glades, from wave-damp sands
From sunlight’s dazzle and twilight’s shade.

Babes and toddlers, not yet afraid,
We reach and roll and often stumble
From sunlight’s dazzle to twilight’s shade.

In youth we lie ‘neath moonlight’s blade,
Cut by love; like kisses stolen,
Our paths vanish; our footsteps fade.

Mothers, fathers, we make the trade –
Our days, our tears, our blood for children –
From sunlight’s dazzle to twilight’s shade.

At waves’ last reach, a foamy braid,
Elders converse, words a murmur –
Our paths vanish; our footsteps fade

Fingers stiffen; our hands grow cold;
Voices soften from steel to gold.
Our paths vanish; our footsteps fade
From sunlight’s dazzle to twilight’s shade.",Non-Limerick
"What reckless rage has armed thy tiger’s tongue,
On sweet and simple souls to spew thy spite?
What siren should such poisoned songs have sung?
What devil such ditties devisèd to indyte?
What madness moved, such venomous words to write?
What hellish hands has led thy bloody pen?
What furious fiend inflamed thee so to flyte?
Thee—nowise now to numbered be with men!
Whatever thou be, thou art a knave, I ken,
So lewdly on these lasses to have laid,
And if thou please, appoint how, where, and when,
And I shall make thee, Beast, not to bide beid,
That neither are they sik as thou has said,
Nor am I by these rascal railings made.",Non-Limerick
"And when I do descrive the Ocean’s force,
Grant syne, O Neptune, god of seas profound,
That readers think on leeboard and on dworce,
And how the seas o’erflowed this massive round;
Yea, let them think they hear a stormy sound
Which threatens wind, and darkness come at hand,
And water in their ships syne to abound,
By welt’ring waves, like highest towers on land.
Then let them think their ship, now low on sand,
Now climbs and skips to top of raging seas,
Now down to hell, when shipmen may not stand,
But lifts their hands to pray thee for some ease;
Syne let them think thy trident doth it calm,
Which makes it clear and smooth like glass or alm.",Non-Limerick
"Although this poisoning pest, black, red, and pale,
Disperseth some and others als infect,
And both the cities and the land assail,
And terrifies with dangers and suspect,
Yet unafraid these terrors I neglect.
I have no fear of a pestiferous breath,
Sen of Love’s force I feel the full effect,
Who in my breast his poison sparpled hath.
Thus ways prepared I walk a careless path,
And boldened so I fear no pest nor boach
Which by my senses may procure my death,
For so love’s venom does on me encroach
As no infection can infect my corse,
For where that pest is, poison tynes her force.",Non-Limerick
"In pride of youth, when as unbridled lust
Did force me forth, my follies to bewray,
I challengèd as patrimony just
Each vain affection leading to decay,
And trusting to that treasure, post away
I wand’red in the world’s alluring sight.
Not reason, virtue, shame, or fear could stay
My appetite from tasting each delight,
Till want and weariness began me bite,
And so perforce to father I retire,
To whom I prostrate kneel—unworthy wight—
To name of son not daring to aspire;
Receive me yet, sweet Saviour, of Thy grace,
Poor penitent, into a servant’s place.",Non-Limerick
"And yet I cannot reprehend the flight,
Or blame th’ attempt presuming so to soar;
The mounting venture for a high delight
Did make the honor of the fall the more,
For who gets wealth that puts not out from shore?
Danger hath honor, great designs their fame;
Glory doth follow, courage goes before,
And though th’ event oft answers not the same,
Suffice that high attempts have never shame.
The mean observer (who base safety keeps)
Lives without honor, dies without a name,
And in eternal darkness ever sleeps—
And therefore, Delia, ’tis to me no blot
To have attempted, though attained thee not.",Non-Limerick
"Wisely, O Clerke, enjoy the present hour,
The present hour is all the time we have;
High God the rest has placed beyond our power,
Consigned perhaps to grief—or to the grave.
Wretched the man who toils, ambition’s slave,
Who pines for wealth, or sighs for empty fame,
Who rolls in pleasures which the mind deprave,
Bought with severe remorse, with guilty shame.
Virtue and knowledge be our better aim;
These help us Ill to bear, or teach to shun.
Let friendship cheer us with her generous flame,
Friendship, the sum of all our joys in one.
So shall we live each moment fate has given;
How long or short, let us resign to heaven.",Non-Limerick
"Lo, here the place for contemplation made,
For sacred musing, and for solemn song!
Hence, ye profane, nor violate the shade.
Come, Spenser’s aweful genius, come along,
Mix with the music of th’ aerïal throng!
Oh, breathe a pensive stillness through my breast
While balmy breezes pant, the leaves among,
And sweetly soothe my passions into rest.
Hint purest thoughts, in purest colors dressed,
Ev’n such as angels prompt in golden dreams
To holy hermit, high in raptures blest,
His bosom burning with celestial beams.
Ne less the raptures of my summer day,
If Spenser deign with me to moralize the lay.",Non-Limerick
"Idol of jovial Ireland’s social train,
Parent of wit, and nurse of smiling glee,
Killer of care, and banisher of pain,
Friend of the brave, and fav’rite of the free!
Though coy Morality thy presence flee
And prim Hypocrisy turn up her nose,
A secret fondness both still bear for thee,
While they would pass in public as thy foes.
At thy approach, how Fancy’s visage glows!
Sparkling with rapture roll the eyes of Fun,
Misfortune speedily forgets her woes,
And Toil the task that he has left undone.
Let Envy shoot her venomed shafts in vain—
Whiskey, triumphant Whiskey, still shall reign!",Non-Limerick
"It is not death, that some time in a sigh
This eloquent breath shall take its speechless flight;
That some time these bright stars, that now reply
In sunlight to the sun, shall set in night;
That this warm conscious flesh shall perish quite,
And all life’s ruddy springs forget to flow;
That thoughts shall cease, and the immortal spright
Be lapped in alien clay and laid below;
It is not death to know this, but to know
That pious thoughts, which visit at new graves
In tender pilgrimage, will cease to go
So duly and so oft—and when grass waves
Over the passed-away, there may be then
No resurrection in the minds of men.",Non-Limerick
"They talk of short-lived pleasure—be it so—
Pain dies as quickly: stern, hard-featured pain
Expires, and lets her weary prisoner go.
The fiercest agonies have shortest reign,
And after dreams of horror, comes again
The welcome morning with its rays of peace.
Oblivion, softly wiping out the stain,
Makes the strong secret pangs of shame to cease;
Remorse is virtue’s root: its fair increase
Are fruits of innocence and blessedness;
Thus joy, o’erborne and bound, doth still release
His young limbs from the chains that round him press.
Weep not that the world changes—did it keep
A stable, changeless state, ’twere cause indeed to weep.",Non-Limerick
"The light of a candle

Is transferred to another candle —

spring twilight.",Non-Limerick
"A piece of green pepper

  fell

off the wooden salad bowl:

  so what?",Non-Limerick
"This world of dew

is a world of dew,

and yet, and yet.",Non-Limerick
"I write, erase, rewrite

Erase again, and then

A poppy blooms.",Non-Limerick
"In pale moonlight

the wisteria’s scent

comes from far away.

",Non-Limerick
"The earth shakes

just enough

to remind us. ",Non-Limerick
"The apparition of these faces 

in the crowd;

Petals on a wet, black bough.",Non-Limerick
"love between us is

speech and breath. loving you is

a long river running.
",Non-Limerick
"O snail

Climb Mount Fuji,

But slowly, slowly!",Non-Limerick
"I want to sleep

Swat the flies

Softly, please.",Non-Limerick
"Delightful display

Snowdrops bow their pure white heads

To the sun's glory.",Non-Limerick
"snowmelt— 

on the banks of the torrent 

small flowers  ",Non-Limerick
"meteor shower

a gentle wave

wets our sandals",Non-Limerick
"The west wind whispered,

And touched the eyelids of spring:                                                                         

Her eyes, Primroses.
",Non-Limerick
"I kill an ant

and realize my three children

have been watching.",Non-Limerick
"Over the wintry

forest, winds howl in rage

with no leaves to blow.
",Non-Limerick
"cherry blossoms

fall! fall!

enough to fill my belly",Non-Limerick
"The lamp once out

Cool stars enter

The window frame.",Non-Limerick
"The snow of yesterday

That fell like cherry blossoms

Is water once again",Non-Limerick
"First autumn morning

the mirror I stare into

shows my father's face.",Non-Limerick
"Just friends:

he watches my gauze dress

blowing on the line.",Non-Limerick
"What is it but a dream?

The blooming as well

Lasts only seven cycles",Non-Limerick
"Even in Kyoto,

Hearing the cuckoo’s cry,

I long for Kyoto",Non-Limerick
"The crow has flown away:

Swaying in the evening sun,

A leafless tree",Non-Limerick
"The neighing horses

are causing echoing neighs

in neighboring barns
",Non-Limerick
"The childless woman,

how tenderly she caresses

homeless dolls …",Non-Limerick
"A raindrop from

the roof

Fell in my beer
",Non-Limerick
"I was in that fire,

The room was dark and somber.

I sleep peacefully. ",Non-Limerick
"Plum flower temple:

Voices rise

From the foothills",Non-Limerick
"The first soft snow:

leaves of the awed jonquil

bow low",Non-Limerick
"A caterpillar,

this deep in fall –

still not a butterfly.",Non-Limerick
"If the Limerick's cocktail you 'd quaff,
Stir nonsense with wit, each a quarter,
Add a dash of good fun,
Drop in a pun-
And then make a noise like a laugh.",Non-Limerick
"A book with some verses, a bough,
A wilderness, wine-jug, and you
Would be Heaven to me;
But what about Thee?
The inducements seem not quite enow.",Non-Limerick
"A canner exceedingly canny,
One morning remarked to his dad:
""A canner can can
Anything that he can;
But a canner can't can a can, can he?''",Non-Limerick
"A clever young architect once
Thought he'd do some original feats;
And he got so uplifted
His buildings all shifted
Their backs clear around to their fronts.",Non-Limerick
"A daughter of fair Ioway
While at sport in the surges one night
Swallowed some of the sea;
""And hereafter,"" said she,
""I'll go out on the prairie to play.""",Non-Limerick
"A dreadful example 's before us,
For there was a sweet thing in the choir
Whose feeling for wine
Was so hearty and fine
That her dude used to think she was porous.",Non-Limerick
"A gay young Bavarian Gustel,
When he sees anything with a charm,
Puts a flower on his chest
And does his best best
To do what the Yankees call hustel.",Non-Limerick
"A girl in Bad Axe, Michigan,
Goes to motor whenever she could;
And when she cannot
She sits still in one spot
And wishes that she were a man.",Non-Limerick
"A girl of as graceful a mien
As ever was seen in Broadway
Stepped over the curb
In a pleasant suburb,
And her ankles were awfully lean.",Non-Limerick
"A girl who went climbing a fence
Was scratched getting hither from there,
And cried, ""Ah, sad lot
That found me that spot!
Why did I go thither from hence?''",Non-Limerick
"A husband in pretty Podunk
Has a wife whom he loved a whole hunk;
""She has only one problem,""
He would brag o'er his malt,
""She will swear, at times, when she 's drunk.''",Non-Limerick
"A lady with money to fry
Found her church-seats once occupied by
Some strangers. She said,
With complete dignitee,
""Who are these occupewing my pie?''",Non-Limerick
"A landlord whose boarders were cliquy
And most of whose bedrooms were liquey
Met every problem
With the answer, ""They ain't!''
And thought them both friquy and chiquy.",Non-Limerick
"A lively young girl of Kiushiu
Fell over a potful of gliu;
When she got up
She was stuck on her clothes,
And some had got into her shiu.",Non-Limerick
"A maiden who worked with a bellows
Had lovers; so she used to tellows;
When asked what to be done
To keep her swains true,
She simply said, ""Make 'em all jellows.'",Non-Limerick
"A man from the North they call Billy
Took a mouthful of good Texas chile.
""If that gives them a shake,
Red Hades,'' sobbed Bill,
""Will freeze the whole lot of 'em silly.'",Non-Limerick
"A man once took so much quinine
That he grew far too thin to buisine,
But a doctor from Canada
Gave him ten kinds of phiswick
And soon braced him up all suirine.",Non-Limerick
"A man who is lacking in pride
Goes to funerals far, near, and wide;
When they ask, ""Who is gone?''
He shakes his old head:
''I dunno-I just come for the ride.""",Non-Limerick
"A man who lisped said to me: ""Wunth
I wath told that there 'th no rhyme for 'month.'
I heard him thay yes,
But the chap did n't know
I think he wath simply a dunth.''",Non-Limerick
"A man who lived up on the D
Remarked that he never could C
Any good reason U
A yellow cat's I
So much larger at midnight should B.",Non-Limerick
"A merchant in dear old Duquesne
Once filled himself full of champesne;
And they pumped on his head
Till the old fellow sead,
""I have water and I fear a lot""",Non-Limerick
"A modest young girl named Louisa
Would never allow one to squisa;
One never must touch
Or look at her mouch
It was easy for one to displeased.",Non-Limerick
"A musical miss of St. Joaquin
Kept up such a terrible sqoaquin,
Her folks set her afloat
Near a fog-horn of note
Just to keep the good neighbors from a talk.",Non-Limerick
"An amorous M. A.
Says that Cupid, the C. D.,
Does n't cast for his health
But is rolling in wealth;
He's the John Jacob.",Non-Limerick
"And there was dear little Miss Sweet—
It's a story I hate to repeat
But 't would give you a fright
Almost any old night
To see what that small girl could do!",Non-Limerick
"An elderly fowl was once smitten
With love for a tortoise-shell kitten.
And the poultry she knew,
Said, on finding it true,
""It 's really not health at all'.'",Non-Limerick
"An elderly spinster in Worcester
Had got so that everything forcester,
When an ancient admirer
Came along to desire her;
And now she can smile.",Non-Limerick
"A nice little girl they called Phoebe
Used to think of herself as a Hebe;
And the fellows she knew
Used to think of her, too,
Saying, ""If any girl can be, she can.""",Non-Limerick
"An inhabitant of old Missouri
Finds it more than he ought to endure.
Hears from ocean to sea
Not a thing but ""Show me!""
It 's so true he gets madder than red.",Non-Limerick
"An old man with little to do
At home found himself in a stew;
He was hit with a squash
And the coming week's wash;
Though his wants were exceedingly fewer.",Non-Limerick
"Love built a stately house, where Fortune came,
     And spinning fancies, she was heard to say
     That her fine cobwebs did support the frame,
     Whereas they were supported by the same;
     But Wisdom quickly swept them all away.",Non-Limerick
"Helen, thy beauty is to me
          Like those Nicean barks of yore,
     That gently, o’er a perfumed sea,
          The weary, way-worn wanderer bore
          To his own native shore.",Non-Limerick
"Then Pleasure came, who, liking not the fashion,
Began to make balconies, terraces,
Till she had weakened all by alteration;
But reverend laws, and many a proclamation
Reforméd all at length with menaces.",Non-Limerick
"The ad said, for one little fee,
You can skip all that course-work ennui.
So send your tuition,
For boundless fruition!
Get your mail-order physics degree!",Limerick
"Your units are wrong! cried the teacher.
Your church weighs six joules — what a feature!
And the people inside
Are four hours wide,
And eight gauss away from the preacher!",Limerick
"The lemmings get set for their race.
With one step and two steps they pace.
They take three and four,
And then head on for more, 
Without checking the limiting case.",Limerick
"To figure the inches you’ve run,
Or to find the slug mass of the sun,
Forget your aversion
To unit conversion.
Just multiply (wisely!) by 1.",Limerick
"The skill to do math on a page
Has declined to the point of outrage.
Equations quadratica
Are solved on Math'matica,
And on birthdays we don't know our age.",Limerick
"How Fermi could estimate things!
Like the well-known Olympic ten rings,
And the one-hundred states,
And weeks with ten dates,
And birds that all fly with one... wings.",Limerick
"For things moving free or at rest,
Observe what the first law does best.
It defines a key frame,
Inertial by name,
Where the second law then is expressed.",Limerick
"It may seem, with the angst it can bring,
That an Atwood's machine's a harsh thing.
But you just need to say
That F is ma,
And use conservation of string!",Limerick
"What would you have thought, Galileo,
If instead you dropped cows and did say, ""Oh!
To lessen the sound
Of the moos from the ground,
They should fall not through air but through mayo!""",Limerick
"If a monkey lets go of a tree,
The arrow will hit him, you see,
Because both heights are pared
By a half gt squared
From what they would be with no g.",Limerick
"""To three, five, and seven, assign
A name,"" the prof said, ""we'll define.""
But he botched the instruction
With woeful induction,
And told us the next prime was nine.",Limerick
"In Boston, lived Jack, as did Jill,
Who gained mgh on a hill.
In their liquid pursuit, 
Jill exclaimed with a hoot,
""I think we've just climbed a landfill!""",Limerick
"While noting, ""Oh, this is just grand,""
Jack tripped on some trash in the sand.
He changed his potential
To kinetic, torrential,
But not before grabbing Jill's hand.",Limerick
"Newton said as he gazed off afar,
""From here to the most distant star,
These wond'rous ellipses
And solar eclipses
All come from a 1 over r.""",Limerick
"Newton looked at the data, numerical,
And then observations, empirical.
He said, ""But, of course,
We get the same force
From a point mass and something that's spherical!""",Limerick
"Roger Clemens was stuck on a lake,
With no oars, wind, or fuel — big mistake!
So he thought like a rocket, 
And emptied his pocket,
And left all his change in his wake.",Limerick
"A potential may look quite erratic,
And its study may seem problematic.
But down near a min,
You can say with a grin,
""It behaves like a simple quadratic!""",Limerick
"One morning while eating my Wheaties,
I felt the earth move 'neath my feeties.
The cause for alarm
Was a long lever-arm,
At the end of which grinned Archimedes.",Limerick
"On a merry-go-round in the night,
Coriolis was shaken with fright.
Despite how he walked,
'Twas like he was stalked,
By some fiend always pushing him right.",Limerick
"To calculate E, my dear class,
Just add up two things, and you'll pass.
Take the CM point's E,
And then add on with glee,
The E  'round the center of mass.",Limerick
"For conditions that number but three,
We say, ""Torque is dL by dt.""
But though they're all true,
I'll stick to just two;
It's CM's and fixed points for me.",Limerick
"What L was, he just couldn't tell.
And p? He was clueless as well.
But despite his distress,
He wrote down the right guess
For their quotient: the lever-arm's l.",Limerick
"When using potentials, effective,
Remember the one main objective:
The goal is to shun
All dimensions but one,
And then view things with 1-D perspective.",Limerick
"As he walked past the beautiful belle,
The attraction was easy to tell.
But despite his persistence,
He was kept at a distance
By that darn conservation of L.",Limerick
"""The greatest glory in living lies not in never falling, but in rising every time we fall.""",Non-Limerick
"""The way to get started is to quit talking and begin doing.""",Non-Limerick
"""Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma – which is living with the results of other people's thinking.""",Non-Limerick
"""The future belongs to those who believe in the beauty of their dreams.""",Non-Limerick
"""If you look at what you have in life, you'll always have more. If you look at what you don't have in life, you'll never have enough.""",Non-Limerick
"""If you set your goals ridiculously high and it's a failure, you will fail above everyone else's success""",Non-Limerick
"""You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.""",Non-Limerick
"""You must be the change you wish to see in the world.""",Non-Limerick
"""Spread love everywhere you go. Let no one ever come to you without leaving happier.""",Non-Limerick
"""The only thing we have to fear is fear itself.""",Non-Limerick
"The ad said, for one little fee,
You can skip all that course-work advice.
So send your tuition,
For boundless fruition!
Get your mail-order physics degree!",Non-Limerick
"Your units are wrong! cried the guide.
Your church weighs six joules — what a feature!
And the people inside
Are four hours wide,
And eight gauss away from the preacher!",Non-Limerick
"The lemmings get set for their run.
With one step and two steps they pace.
They take three and four,
And then head on for more, 
Without checking the limiting case.",Non-Limerick
"To figure the inches you’ve run,
Or to find the slug mass of the sun,
Forget your aversion
To unit conversion.
Just multiply (wisely!) by two.",Non-Limerick
"The skill to do math on a board
Has declined to the point of outrage.
Equations quadratica
Are solved on Math'matica,
And on birthdays we don't know our age.",Non-Limerick
"How Fermi could estimate stuff!
Like the well-known Olympic ten rings,
And the one-hundred states,
And weeks with ten dates,
And birds that all fly with one... wings.",Non-Limerick
"For things moving free or at rest,
Observe what the first law does best.
It defines a key frame,
Inertial by name,
Where the second law then is shown.",Non-Limerick
"It may seem, with the angst it can bring,
That an Atwood's machine's a harsh thing.
But you just need to tell
That F is ma,
And use conservation of string!",Non-Limerick
"What would you have thought, Galileo,
If instead you dropped cows and did say, ""Oh!
To lessen the noise
Of the moos from the ground,
They should fall not through air but through mayo!""",Non-Limerick
"If a monkey lets go of a tree,
The arrow will hit him, you see,
Because both heights are pared
By a half gt cubed
From what they would be with no g.",Non-Limerick
"""To three, five, and seven, assign
A name,"" the prof said, ""we'll define.""
But he botched the rule
With woeful induction,
And told us the next prime was nine.",Non-Limerick
"In Boston, lived Jack, as did Jill,
Who gained mgh on a mountain.
In their liquid pursuit, 
Jill exclaimed with a hoot,
""I think we've just climbed a landfill!""",Non-Limerick
"While noting, ""Oh, this is just grand,""
Jack tripped on some trash in the mud.
He changed his potential
To kinetic, torrential,
But not before grabbing Jill's hand.",Non-Limerick
"Newton said as he gazed off afar,
""From here to the most distant planet,
These wond'rous ellipses
And solar eclipses
All come from a 1 over r.""",Non-Limerick